season,player_id,player_name_original,player_name_english,player_name_normalized,gohoops_player_id,position,height_cm,weight_kg,birthday,nationality,national_identity,metadata_source
2025-26,122,陳懷安,Chen Huai-An,chen huai-an,70881,PointGuard,186,86,1997-04-29,Local,Local,division_roster/profile
2025-26,123,勤明慶,Chin Ming-Ching,chin ming-ching,70882,Center,195,106,1994-11-14,Local,Local,division_roster/profile
2025-26,124,邱子軒,Chiu Tsu-Hsuan,chiu tsu-hsuan,70889,ShootingGuard,190,89,1999-12-08,Local,Local,division_roster/profile
2025-26,12668,歐提斯,Chris Ortiz,chris ortiz,98351,PowerForward,203,102,1993-04-02,Imported,Imported,division_roster/profile
2025-26,12908,布里茲克,Bogdan Bliznyuk,bogdan bliznyuk,99840,SmallForward,198,98,1995-03-31,Imported,Imported,division_roster/profile
2025-26,13,陳冠全,Chen Kuan-Chuan,chen kuan-chuan,70399,Center,197,105,1993-12-30,Local,Local,division_roster/profile
2025-26,13029,杰倫,Jalen Harris,jalen harris,100211,PointGuardAndShootingGuard,193,88,1998-08-14,Imported,Imported,division_roster/profile
2025-26,13275,吳彥侖,Wu Yen-Lun,wu yen-lun,100228,PointGuard,182,72,1997-06-18,Local,Local,division_roster/profile
2025-26,13399,賽克維奇,Rade Zagorac,rade zagorac,100467,PowerForward,205,100,1995-08-12,Imported,Imported,division_roster/profile
2025-26,13400,史東,Diamond Stone,diamond stone,100468,Center,208,132,1997-02-10,Imported,Imported,division_roster/profile
2025-26,13777,布依德,Julian Boyd,julian boyd,100620,PowerForward,201,104,1990-02-02,Imported,Imported,division_roster/profile
2025-26,13778,辛巴,Sim Bhullar,sim bhullar,100714,Center,226,140,1992-12-02,Imported,Imported,division_roster/profile
2025-26,13906,班提爾,Benjamin Bentil,benjamin bentil,100987,PowerForward,204,107,1995-03-29,Imported,Imported,division_roster/profile
2025-26,13907,梅克,Makur Maker,makur maker,100988,Center,208,107,2000-11-04,Imported,Imported,division_roster/profile
2025-26,14,錢肯尼,Kenneth Chien,kenneth chien,70400,ShootingGuard,186,88,1995-02-06,Local,Local,division_roster/profile
2025-26,14037,奧迪傑,Efe Odigie,efe odigie,101190,Center,206,110,1999-12-04,Imported,Imported,division_roster/profile
2025-26,14038,飛米,Olufemi Olujobi,olufemi olujobi,101265,SmallForwardAndPowerForward,206,112,1996-03-05,Imported,Imported,division_roster/profile
2025-26,14303,喬丹,Jordan Tolbert,jordan tolbert,101520,SmallForwardAndPowerForward,201,104,1992-11-08,Imported,Imported,division_roster/profile
2025-26,14437,弗利沙,,弗利沙,101791,PointGuardAndShootingGuard,191,91,1994-03-08,,,division_roster/profile
2025-26,14707,金恩,Nick King,nick king,101892,SmallForwardAndPowerForward,203,105,1995-08-05,Imported,Imported,division_roster/profile
2025-26,14843,馬力,Marin Marić,marin marić,101953,Center,211,113,1994-02-21,Imported,Imported,division_roster/profile
2025-26,14844,杭特,Hunter Maldonado,hunter maldonado,101954,PointGuardAndShootingGuard,198,95,1999-03-24,Imported,Imported,division_roster/profile
2025-26,14845,恩多,Youssoupha Ndoye,youssoupha ndoye,101956,Center,213,113,1991-07-15,Imported,Imported,division_roster/profile
2025-26,14982,徐小龍,Mel Tse-Jade,mel tse-jade,102052,PointGuardAndShootingGuard,185,86,2000-03-19,Local,Local,division_roster/profile
2025-26,16,米勒,Malcolm Miller,malcolm miller,70402,SmallForward,201,95,1993-03-06,Imported,Imported,division_roster/profile
2025-26,19,蘇培凱,Su Pei-Kai,su pei-kai,70405,PointGuardAndShootingGuard,187,83,1999-11-02,Local,Local,division_roster/profile
2025-26,2,江均,Chiang Chun,chiang chun,70387,SmallForward,193,93,2001-09-11,Local,Local,division_roster/profile
2025-26,21,李愷諺,Lee Kai-Yan,lee kai-yan,70509,PointGuardAndShootingGuard,182,80,1993-05-06,Local,Local,division_roster/profile
2025-26,22,簡祐哲,Chien You-Che,chien you-che,70511,PointGuardAndShootingGuard,180,80,1995-09-10,Local,Local,division_roster/profile
2025-26,23,王柏智,Wang Po-Chih,wang po-chih,70513,Center,197,130,1996-10-29,Local,Local,division_roster/profile
2025-26,24,蘇士軒,Su Shih-Hsuan,su shih-hsuan,70514,PowerForward,197,95,1996-04-09,Local,Local,division_roster/profile
2025-26,25,林金榜,Lin Chin-Pang,lin chin-pang,70515,SmallForward,190,92,1985-06-15,Local,Local,division_roster/profile
2025-26,26,洪志善,Hung Chih-Shan,hung chih-shan,70516,PointGuardAndShootingGuard,176,75,1985-07-05,Local,Local,division_roster/profile
2025-26,28,呂政儒,Lu Cheng-Ju,lu cheng-ju,70519,SmallForward,194,88,1986-04-13,Local,Local,division_roster/profile
2025-26,29,林書緯,Lin Shu-Wei,lin shu-wei,70520,PointGuardAndShootingGuard,182,69,1992-06-21,Local,Local,division_roster/profile
2025-26,3,陳文宏,Chen Wen-Hong,chen wen-hong,70388,SmallForward,188,98,1991-07-14,Local,Local,division_roster/profile
2025-26,3129,董永全,Dong Yong-Cyuan,dong yong-cyuan,79421,SmallForward,190,92,1999-10-14,Local,Local,division_roster/profile
2025-26,32,奧帝,Austin Daye,austin daye,70524,PowerForward,207,91,1988-06-05,Imported,Imported,division_roster/profile
2025-26,34,沃許本,Jason Washburn,jason washburn,70527,Center,213,111,1990-06-05,Imported,Imported,division_roster/profile
2025-26,35,李睿麒,Li Ruei-Ci,li ruei-ci,70528,SmallForwardAndPowerForward,193,87,1993-01-07,Local,Local,division_roster/profile
2025-26,38,余維豪,Yu Wei-Hao,yu wei-hao,70531,PointGuardAndShootingGuard,174,70,2001-10-24,Local,Local,division_roster/profile
2025-26,39,魏嘉豪,Wei Chia-Hao,wei chia-hao,70533,PointGuardAndShootingGuard,182,78,2000-01-13,Local,Local,division_roster/profile
2025-26,4,張兆辰,Chang Chao-Chen,chang chao-chen,70389,PowerForward,196,97,2000-09-02,Local,Local,division_roster/profile
2025-26,40,謝亞軒,Hsieh Ya-Hsuan,hsieh ya-hsuan,70534,PointGuardAndShootingGuard,187,81,1998-10-30,Local,Local,division_roster/profile
2025-26,4181,艾德,Edgaras Zelionis,edgaras zelionis,79429,PowerForward,208,100,1989-06-04,Imported,Imported,division_roster/profile
2025-26,43,林韋翰,Lin Wei-Han,lin wei-han,70539,PointGuardAndShootingGuard,180,71,1990-07-09,Local,Local,division_roster/profile
2025-26,44,黃泓瀚,Huang Hung-Han,huang hung-han,70540,SmallForwardAndPowerForward,192,92,1994-10-15,Local,Local,division_roster/profile
2025-26,45,施晉堯,Shih Chin-Yao,shih chin-yao,70541,ShootingGuard,188,86,1990-10-28,Local,Local,division_roster/profile
2025-26,47,曾文鼎,Tseng Wen Ting,tseng wen ting,70543,Center,204,98,1984-07-06,Local,Local,division_roster/profile
2025-26,48,李沛澄,Li Pei-Cheng,li pei-cheng,70544,PointGuardAndShootingGuard,181,79,2000-10-25,Local,Local,division_roster/profile
2025-26,5,黃聰翰,Huang Tsung-Han,huang tsung-han,70390,SmallForward,193,96,1994-07-07,Local,Local,division_roster/profile
2025-26,51,克力斯,Kristijan Krajina,kristijan krajina,70548,Center,208,111,1990-12-28,Imported,Imported,division_roster/profile
2025-26,54,高錦瑋,Gao Jin-Wei,gao jin-wei,70704,PointGuard,172,66,2000-10-23,Local,Local,division_roster/profile
2025-26,55,汪哲宇,Wang Jhe-Yu,wang jhe-yu,70718,ShootingGuard,190,88,2002-10-18,Local,Local,division_roster/profile
2025-26,56,丁冠皓,Ting Kuang-Hao,ting kuang-hao,70720,SmallForward,192,86,2000-10-23,Local,Local,division_roster/profile
2025-26,57,莊博元,Chuang Po-Yuan,chuang po-yuan,70726,PointGuardAndShootingGuard,185,85,2000-12-01,Local,Local,division_roster/profile
2025-26,58,林信寬,Lin Sin-Kuan,lin sin-kuan,70741,SmallForward,192,97,2002-05-09,Local,Local,division_roster/profile
2025-26,5948,克雷格,Craig Sword,craig sword,80266,PointGuardAndShootingGuard,191,89,1994-01-16,Imported,Imported,division_roster/profile
2025-26,60,黃鎮,Huang Zhen,huang zhen,70746,SmallForward,193,86,1990-06-27,Local,Local,division_roster/profile
2025-26,62,王皓吉,Wang Hao-Chi,wang hao-chi,70751,SmallForwardAndPowerForward,195,95,1989-09-22,Local,Local,division_roster/profile
2025-26,63,呂濟而,Lu Chi-Erh,lu chi-erh,70752,PointGuard,187,80,1992-01-15,Local,Local,division_roster/profile
2025-26,64,劉元凱,Liu Yuan-Kai,liu yuan-kai,70753,Center,206,105,1991-07-09,Local,Local,division_roster/profile
2025-26,68,克羅馬,Lasannah Kromah,lasannah kromah,70760,SmallForward,198,91,1991-06-24,Imported,Imported,division_roster/profile
2025-26,7,孫思堯,Sun Szu-Yao,sun szu-yao,70393,Center,203,105,1997-10-03,Local,Local,division_roster/profile
2025-26,71,李漢昇,Li Han-Sheng,li han-sheng,70828,PointGuardAndShootingGuard,177,76,1994-10-24,Local,Local,division_roster/profile
2025-26,73,陳振傑,Chen Jen-Jie,chen jen-jie,70830,ShootingGuard,183,80,1997-09-16,Local,Local,division_roster/profile
2025-26,75,高國豪,Kao Kuo-Hao,kao kuo-hao,70832,PointGuardAndShootingGuard,180,76,1998-09-22,Local,Local,division_roster/profile
2025-26,76,曾柏喻,Tseng Po-Yu,tseng po-yu,70833,PointGuardAndShootingGuard,184,88,1996-12-03,Local,Local,division_roster/profile
2025-26,77,馬建豪,Ma Chien-Hao,ma chien-hao,70834,SmallForward,201,90,2001-04-29,Local,Local,division_roster/profile
2025-26,78,朱雲豪,Chu Yun-Hao,chu yun-hao,70835,SmallForwardAndPowerForward,195,94,1997-11-03,Local,Local,division_roster/profile
2025-26,79,張宗憲,Chang Tsung-Hsien,chang tsung-hsien,70836,ShootingGuard,192,88,1988-12-27,Local,Local,division_roster/profile
2025-26,80,田浩,Tien Hao,tien hao,70837,PointGuardAndShootingGuard,174,70,1998-09-16,Local,Local,division_roster/profile
2025-26,82,蕭順議,Hsiao Shun-Yi,hsiao shun-yi,70839,SmallForwardAndPowerForward,193,86,1992-10-23,Local,Local,division_roster/profile
2025-26,83,吳家駿,Wu Chia-Chun,wu chia-chun,70841,PointGuard,174,70,1994-03-03,Local,Local,division_roster/profile
2025-26,84,李家瑞,Lee Chia-Jul,lee chia-jul,70842,SmallForwardAndPowerForward,200,97,1994-12-04,Local,Local,division_roster/profile
2025-26,86,林俊吉,Lin Chun-Chi,lin chun-chi,70844,PointGuard,175,70,1998-01-29,Local,Local,division_roster/profile
2025-26,867,桑尼,Sani Sakakini,sani sakakini,79342,PowerForward,204,102,1988-08-19,Imported,Imported,division_roster/profile
2025-26,87,蔡宸綱,Tsai Chen-Kang,tsai chen-kang,70845,SmallForwardAndPowerForward,197,95,2002-11-08,Local,Local,division_roster/profile
2025-26,88,盧冠軒,Lu Kuan-Hsuan,lu kuan-hsuan,70846,PointGuardAndShootingGuard,184,88,1995-04-02,Local,Local,division_roster/profile
2025-26,8889,馬可,Marko Todorovic,marko todorovic,82271,Center,208,113,1992-04-19,Imported,Imported,division_roster/profile
2025-26,89,蔣淯安,Chiang Yu-An,chiang yu-an,70847,PointGuard,174,75,1991-08-04,Local,Local,division_roster/profile
2025-26,9,張耕淯,Chang Keng-Yu,chang keng-yu,70395,ShootingGuard,188,88,1996-10-16,Local,Local,division_roster/profile
2025-26,90,李啓瑋,Lee Chi-Wei,lee chi-wei,70848,SmallForward,192,87,1993-04-08,Local,Local,division_roster/profile
2025-26,91,簡偉儒,Chien Wei-Ju,chien wei-ju,70849,ShootingGuard,186,85,1992-01-20,Local,Local,division_roster/profile
2025-26,95,李德威,Lee Te-Wei,lee te-wei,70853,Center,200,105,1991-10-15,Local,Local,division_roster/profile
2025-26,97,史承平,Shih Cheng-Ping,shih cheng-ping,70856,SmallForward,190,80,1999-10-01,Local,Local,division_roster/profile
2025-26,99,盧冠良,,盧冠良,70858,ShootingGuard,185,90,1991-04-09,,,division_roster/profile
